group,bin_center,count,weight,density,true_threshold,borderline_lower,borderline_upper
pft,42.0,577,0.05518362662586075,0.05518362662586075,45.0,40.0,50.0
pft,43.0,472,0.045141545524101,0.045141545524101,45.0,40.0,50.0
pft,44.0,509,0.048680183626625864,0.048680183626625864,45.0,40.0,50.0
pft,45.0,366,0.03500382555470543,0.03500382555470543,45.0,40.0,50.0
pft,46.0,347,0.0331866870696251,0.0331866870696251,45.0,40.0,50.0
pft,47.0,282,0.02697016067329763,0.02697016067329763,45.0,40.0,50.0
pft,48.0,278,0.0265876052027544,0.0265876052027544,45.0,40.0,50.0
pft,49.0,182,0.01740627390971691,0.01740627390971691,45.0,40.0,50.0
pft,50.0,169,0.016162968630451417,0.016162968630451417,45.0,40.0,50.0
pft,51.0,144,0.013771996939556235,0.013771996939556235,45.0,40.0,50.0
pft,52.0,124,0.011859219586840091,0.011859219586840091,45.0,40.0,50.0
pft,53.0,116,0.011094108645753635,0.011094108645753635,45.0,40.0,50.0
pft,54.0,102,0.009755164498852333,0.009755164498852333,45.0,40.0,50.0
pft,55.0,96,0.009181331293037491,0.009181331293037491,45.0,40.0,50.0
pft,56.0,79,0.007555470543228768,0.007555470543228768,45.0,40.0,50.0
pft,57.0,52,0.004973221117061974,0.004973221117061974,45.0,40.0,50.0
pft,58.0,58,0.005547054322876817,0.005547054322876817,45.0,40.0,50.0
pft,59.0,43,0.004112471308339709,0.004112471308339709,45.0,40.0,50.0
pft,60.0,44,0.004208110175975516,0.004208110175975516,45.0,40.0,50.0
pft,61.0,37,0.003538638102524866,0.003538638102524866,45.0,40.0,50.0
pft,62.0,32,0.00306044376434583,0.00306044376434583,45.0,40.0,50.0
pft,63.0,24,0.0022953328232593728,0.0022953328232593728,45.0,40.0,50.0
pft,64.0,31,0.0029648048967100228,0.0029648048967100228,45.0,40.0,50.0
pft,65.0,32,0.00306044376434583,0.00306044376434583,45.0,40.0,50.0
pft,66.0,21,0.002008416220351951,0.002008416220351951,45.0,40.0,50.0
pft,67.0,12,0.0011476664116296864,0.0011476664116296864,45.0,40.0,50.0
pft,68.0,6,0.0005738332058148432,0.0005738332058148432,45.0,40.0,50.0
pft,69.0,13,0.0012433052792654934,0.0012433052792654934,45.0,40.0,50.0
pft,70.0,14,0.0013389441469013007,0.0013389441469013007,45.0,40.0,50.0
pft,71.0,9,0.0008607498087222647,0.0008607498087222647,45.0,40.0,50.0
pft,72.0,11,0.001052027543993879,0.001052027543993879,45.0,40.0,50.0
pft,73.0,4,0.00038255547054322876,0.00038255547054322876,45.0,40.0,50.0
pft,74.0,7,0.0006694720734506504,0.0006694720734506504,45.0,40.0,50.0
pft,75.0,8,0.0007651109410864575,0.0007651109410864575,45.0,40.0,50.0
pft,76.0,6,0.0005738332058148432,0.0005738332058148432,45.0,40.0,50.0
pft,77.0,6,0.0005738332058148432,0.0005738332058148432,45.0,40.0,50.0
pft,78.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,79.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,80.0,3,0.0002869166029074216,0.0002869166029074216,45.0,40.0,50.0
pft,81.0,5,0.00047819433817903597,0.00047819433817903597,45.0,40.0,50.0
pft,82.0,7,0.0006694720734506504,0.0006694720734506504,45.0,40.0,50.0
pft,83.0,5,0.00047819433817903597,0.00047819433817903597,45.0,40.0,50.0
pft,84.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,85.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,86.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,87.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,88.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,91.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,93.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,94.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,96.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,97.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,98.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,100.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,102.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,108.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,109.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,126.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,187.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,188.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,216.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
ed_inp,3.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,4.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,5.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,6.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,7.0,9,7.466525079228127e-05,7.466525079228127e-05,45.0,40.0,50.0
ed_inp,8.0,15,0.00012444208465380211,0.00012444208465380211,45.0,40.0,50.0
ed_inp,9.0,21,0.00017421891851532296,0.00017421891851532296,45.0,40.0,50.0
ed_inp,10.0,25,0.00020740347442300353,0.00020740347442300353,45.0,40.0,50.0
ed_inp,11.0,32,0.0002654764472614445,0.0002654764472614445,45.0,40.0,50.0
ed_inp,12.0,38,0.0003152532811229654,0.0003152532811229654,45.0,40.0,50.0
ed_inp,13.0,59,0.0004894721996382883,0.0004894721996382883,45.0,40.0,50.0
ed_inp,14.0,73,0.0006056181453151703,0.0006056181453151703,45.0,40.0,50.0
ed_inp,15.0,64,0.000530952894522889,0.000530952894522889,45.0,40.0,50.0
ed_inp,16.0,130,0.0010784980669996183,0.0010784980669996183,45.0,40.0,50.0
ed_inp,17.0,149,0.001236124707561101,0.001236124707561101,45.0,40.0,50.0
ed_inp,18.0,226,0.001874927408783952,0.001874927408783952,45.0,40.0,50.0
ed_inp,19.0,256,0.002123811578091556,0.002123811578091556,45.0,40.0,50.0
ed_inp,20.0,515,0.004272511573113873,0.004272511573113873,45.0,40.0,50.0
ed_inp,21.0,377,0.003127644394298893,0.003127644394298893,45.0,40.0,50.0
ed_inp,22.0,645,0.005351009640113491,0.005351009640113491,45.0,40.0,50.0
ed_inp,23.0,620,0.005143606165690488,0.005143606165690488,45.0,40.0,50.0
ed_inp,24.0,944,0.007831555194212613,0.007831555194212613,45.0,40.0,50.0
ed_inp,25.0,999,0.008287842837943222,0.008287842837943222,45.0,40.0,50.0
ed_inp,26.0,1444,0.011979624682672683,0.011979624682672683,45.0,40.0,50.0
ed_inp,27.0,1440,0.011946440126765004,0.011946440126765004,45.0,40.0,50.0
ed_inp,28.0,2036,0.016890938957009407,0.016890938957009407,45.0,40.0,50.0
ed_inp,29.0,2010,0.016675239343609483,0.016675239343609483,45.0,40.0,50.0
ed_inp,30.0,2697,0.022374686820753623,0.022374686820753623,45.0,40.0,50.0
