group,paco2_bin,weight
all,3.0,5.058220113506459e-06
all,4.0,1.517466034051938e-05
all,5.0,1.011644022701292e-05
all,6.0,2.0232880454025837e-05
all,7.0,6.575686147558397e-05
all,8.0,0.0001163390626106
all,9.0,0.0001820959240862
all,10.0,0.0002124452447672
all,11.0,0.0003389007476049
all,12.0,0.0004451233699885
all,13.0,0.0005614624325992
all,14.0,0.0007132090360044
all,15.0,0.0007030925957773
all,16.0,0.0013454865501927
all,17.0,0.0015478153547329
all,18.0,0.0020839866867646
all,19.0,0.0023065483717589
all,20.0,0.0041983226942103
all,21.0,0.0037279082236542
all,22.0,0.0056854394075812
all,23.0,0.00594340863337
all,24.0,0.0085129844510313
all,25.0,0.0093627654301004
all,26.0,0.0126910742647877
all,27.0,0.0132019544962518
all,28.0,0.0179364485224939
all,29.0,0.0180730204655585
all,30.0,0.0236572954708697
all,31.0,0.0230654837175894
all,32.0,0.0319628928972473
all,33.0,0.0320741737397444
all,34.0,0.0403140143046464
all,35.0,0.0388623051320701
all,36.0,0.0468340600309563
all,37.0,0.043905350585236
all,38.0,0.0499701565013303
all,39.0,0.045453165939969
all,40.0,0.0476130259284363
all,41.0,0.0420287509231251
all,42.0,0.0430454531659399
all,43.0,0.0361814484719117
all,44.0,0.0361814484719117
all,45.0,0.0294388410606075
all,46.0,0.0292567451365213
all,47.0,0.023111007698611
all,48.0,0.0232172303209946
all,49.0,0.0179060992018128
all,50.0,0.0175874313346619
all,51.0,0.0137937662495321
all,52.0,0.0136015538852188
all,53.0,0.0112241904318708
all,54.0,0.0105312142763204
all,55.0,0.0084219364889882
all,56.0,0.0082196076844479
all,57.0,0.0064947546257422
all,58.0,0.0064846381855152
all,59.0,0.0056803811874677
all,60.0,0.005493227043268
all,61.0,0.0047496686865825
all,62.0,0.0047496686865825
all,63.0,0.003935295248308
all,64.0,0.0038391890661514
all,65.0,0.003156329350828
all,66.0,0.0032979595140062
all,67.0,0.002766846402088
all,68.0,0.0030399902882173
all,69.0,0.0025544011573207
all,70.0,0.0025291100567532
all,71.0,0.0022003257493753
all,72.0,0.0022306750700563
all,73.0,0.0019625894040405
all,74.0,0.0018310756810893
all,75.0,0.0017450859391597
all,76.0,0.001618630436322
all,77.0,0.001608513996095
all,78.0,0.0014011269714412
all,79.0,0.0013353701099657
all,80.0,0.0013606612105332
all,81.0,0.0012139728272415
all,82.0,0.0011583324059929
all,83.0,0.0011836235065605
all,84.0,0.0011279830853119
all,85.0,0.0010672844439498
all,86.0,0.0009762364819067
all,87.0,0.0009054214003176
all,88.0,0.0009560036014527
all,89.0,0.0009205960606581
all,90.0,0.000839664538842
