group,paco2_bin,count,weight
icu,224.0,3,4.4974814104101705e-05
icu,225.0,4,5.996641880546894e-05
icu,226.0,1,1.4991604701367234e-05
icu,227.0,3,4.4974814104101705e-05
icu,228.0,1,1.4991604701367234e-05
icu,229.0,4,5.996641880546894e-05
icu,230.0,4,5.996641880546894e-05
icu,231.0,2,2.998320940273447e-05
icu,232.0,5,7.495802350683618e-05
icu,233.0,3,4.4974814104101705e-05
icu,234.0,3,4.4974814104101705e-05
icu,235.0,1,1.4991604701367234e-05
icu,236.0,4,5.996641880546894e-05
icu,237.0,2,2.998320940273447e-05
icu,239.0,3,4.4974814104101705e-05
icu,240.0,2,2.998320940273447e-05
icu,241.0,4,5.996641880546894e-05
icu,244.0,2,2.998320940273447e-05
icu,245.0,4,5.996641880546894e-05
icu,246.0,1,1.4991604701367234e-05
icu,247.0,1,1.4991604701367234e-05
icu,248.0,1,1.4991604701367234e-05
icu,249.0,1,1.4991604701367234e-05
pft,11.0,1,9.563886763580719e-05
pft,15.0,2,0.00019127773527161438
pft,16.0,1,9.563886763580719e-05
pft,17.0,4,0.00038255547054322876
pft,18.0,3,0.0002869166029074216
pft,19.0,4,0.00038255547054322876
pft,20.0,24,0.0022953328232593728
pft,21.0,19,0.0018171384850803366
pft,22.0,27,0.002582249426166794
pft,23.0,28,0.0026778882938026014
pft,24.0,44,0.004208110175975516
pft,25.0,74,0.007077276205049732
pft,26.0,71,0.006790359602142311
pft,27.0,82,0.00784238714613619
pft,28.0,127,0.012146136189747513
pft,29.0,150,0.014345830145371078
pft,30.0,208,0.019892884468247895
pft,31.0,227,0.02171002295332823
pft,32.0,314,0.03003060443764346
pft,33.0,322,0.030795715378729917
pft,34.0,422,0.04035960214231064
pft,35.0,433,0.04141162968630451
pft,36.0,569,0.05441851568477429
pft,37.0,540,0.051644988523335884
pft,38.0,639,0.0611132364192808
pft,39.0,577,0.05518362662586075
pft,40.0,643,0.06149579188982402
pft,41.0,540,0.051644988523335884
pft,42.0,577,0.05518362662586075
pft,43.0,472,0.045141545524101
pft,44.0,509,0.048680183626625864
pft,45.0,366,0.03500382555470543
pft,46.0,347,0.0331866870696251
pft,47.0,282,0.02697016067329763
pft,48.0,278,0.0265876052027544
pft,49.0,182,0.01740627390971691
pft,50.0,169,0.016162968630451417
pft,51.0,144,0.013771996939556235
pft,52.0,124,0.011859219586840091
pft,53.0,116,0.011094108645753635
pft,54.0,102,0.009755164498852333
pft,55.0,96,0.009181331293037491
pft,56.0,79,0.007555470543228768
pft,57.0,52,0.004973221117061974
pft,58.0,58,0.005547054322876817
pft,59.0,43,0.004112471308339709
pft,60.0,44,0.004208110175975516
pft,61.0,37,0.003538638102524866
pft,62.0,32,0.00306044376434583
pft,63.0,24,0.0022953328232593728
pft,64.0,31,0.0029648048967100228
pft,65.0,32,0.00306044376434583
pft,66.0,21,0.002008416220351951
pft,67.0,12,0.0011476664116296864
pft,68.0,6,0.0005738332058148432
pft,69.0,13,0.0012433052792654934
pft,70.0,14,0.0013389441469013007
pft,71.0,9,0.0008607498087222647
pft,72.0,11,0.001052027543993879
pft,73.0,4,0.00038255547054322876
pft,74.0,7,0.0006694720734506504
pft,75.0,8,0.0007651109410864575
pft,76.0,6,0.0005738332058148432
pft,77.0,6,0.0005738332058148432
pft,78.0,2,0.00019127773527161438
pft,79.0,1,9.563886763580719e-05
pft,80.0,3,0.0002869166029074216
pft,81.0,5,0.00047819433817903597
pft,82.0,7,0.0006694720734506504
pft,83.0,5,0.00047819433817903597
pft,84.0,1,9.563886763580719e-05
pft,85.0,1,9.563886763580719e-05
pft,86.0,2,0.00019127773527161438
pft,87.0,1,9.563886763580719e-05
pft,88.0,2,0.00019127773527161438
pft,91.0,1,9.563886763580719e-05
pft,93.0,2,0.00019127773527161438
pft,94.0,2,0.00019127773527161438
pft,96.0,1,9.563886763580719e-05
pft,97.0,1,9.563886763580719e-05
pft,98.0,1,9.563886763580719e-05
pft,100.0,1,9.563886763580719e-05
pft,102.0,2,0.00019127773527161438
pft,108.0,1,9.563886763580719e-05
pft,109.0,1,9.563886763580719e-05
pft,126.0,2,0.00019127773527161438
pft,187.0,1,9.563886763580719e-05
pft,188.0,1,9.563886763580719e-05
pft,216.0,1,9.563886763580719e-05
