group,paco2_bin,count,weight
all,85.0,211,0.001067284443949863
all,86.0,193,0.0009762364819067466
all,87.0,179,0.0009054214003176562
all,88.0,189,0.0009560036014527208
all,89.0,182,0.0009205960606581756
all,90.0,166,0.0008396645388420723
all,91.0,140,0.0007081508158909043
all,92.0,140,0.0007081508158909043
all,93.0,119,0.0006019281935072686
all,94.0,115,0.0005816953130532429
all,95.0,129,0.0006525103946423333
all,96.0,126,0.0006373357343018138
all,97.0,92,0.0004653562504425943
all,98.0,101,0.0005108802314641524
all,99.0,95,0.00048053091078311365
all,100.0,91,0.0004602980303290878
all,101.0,61,0.00030855142692389403
all,102.0,66,0.0003338425274914263
all,103.0,75,0.00037936650851298445
all,104.0,60,0.00030349320681038756
all,105.0,62,0.0003136096470374005
all,106.0,54,0.0002731438861293488
all,107.0,44,0.00022256168499428422
all,108.0,47,0.0002377363453348036
all,109.0,38,0.00019221236431324546
all,110.0,52,0.0002630274459023359
all,111.0,41,0.00020738702465376483
all,112.0,37,0.00018715414419973899
all,113.0,38,0.00019221236431324546
all,114.0,37,0.00018715414419973899
all,115.0,37,0.00018715414419973899
all,116.0,40,0.00020232880454025838
all,117.0,22,0.00011128084249714211
all,118.0,34,0.00017197948385921962
all,119.0,36,0.00018209592408623254
all,120.0,32,0.0001618630436322067
all,121.0,33,0.00016692126374571315
all,122.0,21,0.00010622262238363565
all,123.0,25,0.0001264555028376615
all,124.0,30,0.00015174660340519378
all,125.0,32,0.0001618630436322067
all,126.0,16,8.093152181610335e-05
all,127.0,20,0.00010116440227012919
all,128.0,18,9.104796204311627e-05
all,129.0,22,0.00011128084249714211
all,130.0,30,0.00015174660340519378
all,131.0,18,9.104796204311627e-05
all,132.0,19,9.610618215662273e-05
all,133.0,15,7.587330170259689e-05
all,134.0,8,4.0465760908051675e-05
all,135.0,23,0.00011633906261064857
all,136.0,16,8.093152181610335e-05
all,137.0,10,5.0582201135064595e-05
all,138.0,14,7.081508158909043e-05
all,139.0,15,7.587330170259689e-05
